Range,Frequency
0-999,129
1000-1999,112
2000-2999,109
3000-3999,148
4000-4999,132
5000-5999,123
6000-6999,137
7000-7999,132
8000-8999,146
9000-9999,138
10000-10999,121
11000-11999,123
12000-12999,116
13000-13999,137
14000-14999,148
15000-15999,120
16000-16999,114
17000-17999,126
18000-18999,128
19000-19999,131
20000-20999,134
21000-21999,134
22000-22999,129
23000-23999,121
24000-24999,138
25000-25999,121
26000-26999,147
27000-27999,149
28000-28999,129
29000-29999,114
30000-30999,119
31000-31999,115
32000-32999,109
33000-33999,114
34000-34999,130
35000-35999,119
36000-36999,131
37000-37999,131
38000-38999,120
39000-39999,119
40000-40999,133
41000-41999,139
42000-42999,131
43000-43999,139
44000-44999,121
45000-45999,129
46000-46999,118
47000-47999,129
48000-48999,136
49000-49999,129
50000-50999,122
51000-51999,118
52000-52999,117
53000-53999,131
54000-54999,128
55000-55999,106
56000-56999,101
57000-57999,109
58000-58999,128
59000-59999,134
60000-60999,121
61000-61999,132
62000-62999,135
63000-63999,126
64000-64999,125
65000-65999,120
66000-66999,114
67000-67999,121
68000-68999,127
69000-69999,134
70000-70999,121
71000-71999,151
72000-72999,130
73000-73999,124
74000-74999,125
75000-75999,112
76000-76999,120
77000-77999,121
78000-78999,137
79000-79999,139
80000-80999,95
81000-81999,116
82000-82999,125
83000-83999,117
84000-84999,128
85000-85999,142
86000-86999,138
87000-87999,130
88000-88999,119
89000-89999,133
90000-90999,111
91000-91999,124
92000-92999,111
93000-93999,116
94000-94999,110
95000-95999,138
96000-96999,105
97000-97999,134
98000-98999,127
99000-99999,121
100000-100999,110
101000-101999,136
102000-102999,155
103000-103999,156
104000-104999,137
105000-105999,149
106000-106999,128
107000-107999,124
108000-108999,140
109000-109999,122
110000-110999,126
111000-111999,147
112000-112999,126
113000-113999,130
114000-114999,134
115000-115999,104
116000-116999,138
117000-117999,123
118000-118999,133
119000-119999,122
120000-120999,111
121000-121999,119
122000-122999,132
123000-123999,130
124000-124999,128
125000-125999,116
126000-126999,127
127000-127999,138
128000-128999,136
129000-129999,138
130000-130999,130
131000-131999,125
132000-132999,136
133000-133999,132
134000-134999,126
135000-135999,128
136000-136999,142
137000-137999,142
138000-138999,140
139000-139999,129
140000-140999,108
141000-141999,124
142000-142999,137
143000-143999,136
144000-144999,154
145000-145999,119
146000-146999,115
147000-147999,131
148000-148999,124
149000-149999,124
150000-150999,132
151000-151999,130
152000-152999,139
153000-153999,135
154000-154999,125
155000-155999,143
156000-156999,131
157000-157999,134
158000-158999,133
159000-159999,105
160000-160999,123
161000-161999,116
162000-162999,135
163000-163999,128
164000-164999,115
165000-165999,132
166000-166999,130
167000-167999,121
168000-168999,127
169000-169999,137
170000-170999,116
171000-171999,120
172000-172999,129
173000-173999,126
174000-174999,143
175000-175999,119
176000-176999,116
177000-177999,118
178000-178999,97
179000-179999,117
180000-180999,111
181000-181999,122
182000-182999,127
183000-183999,117
184000-184999,132
185000-185999,108
186000-186999,114
187000-187999,120
188000-188999,119
189000-189999,120
190000-190999,134
191000-191999,129
192000-192999,109
193000-193999,123
194000-194999,113
195000-195999,150
196000-196999,129
197000-197999,126
198000-198999,107
199000-199999,137
200000-200999,123
201000-201999,112
202000-202999,119
203000-203999,109
204000-204999,116
205000-205999,138
206000-206999,128
207000-207999,116
208000-208999,142
209000-209999,134
210000-210999,117
211000-211999,122
212000-212999,133
213000-213999,144
214000-214999,128
215000-215999,117
216000-216999,126
217000-217999,125
218000-218999,126
219000-219999,142
220000-220999,119
221000-221999,136
222000-222999,116
223000-223999,117
224000-224999,122
225000-225999,139
226000-226999,122
227000-227999,119
228000-228999,117
229000-229999,129
230000-230999,147
231000-231999,146
232000-232999,131
233000-233999,130
234000-234999,128
235000-235999,121
236000-236999,132
237000-237999,144
238000-238999,131
239000-239999,126
240000-240999,154
241000-241999,129
242000-242999,113
243000-243999,135
244000-244999,121
245000-245999,141
246000-246999,135
247000-247999,136
248000-248999,138
249000-249999,125
250000-250999,130
251000-251999,131
252000-252999,117
253000-253999,113
254000-254999,134
255000-255999,115
256000-256999,112
257000-257999,115
258000-258999,125
259000-259999,122
260000-260999,124
261000-261999,102
262000-262999,118
263000-263999,97
264000-264999,106
265000-265999,131
266000-266999,125
267000-267999,130
268000-268999,110
269000-269999,132
270000-270999,116
271000-271999,130
272000-272999,119
273000-273999,127
274000-274999,122
275000-275999,135
276000-276999,123
277000-277999,122
278000-278999,115
279000-279999,127
280000-280999,122
281000-281999,119
282000-282999,127
283000-283999,116
284000-284999,121
285000-285999,133
286000-286999,83
287000-287999,119
288000-288999,108
289000-289999,136
290000-290999,120
291000-291999,132
292000-292999,130
293000-293999,132
294000-294999,136
295000-295999,140
296000-296999,146
297000-297999,121
298000-298999,120
299000-299999,129
300000-300999,123
301000-301999,117
302000-302999,112
303000-303999,116
304000-304999,124
305000-305999,146
306000-306999,137
307000-307999,124
308000-308999,129
309000-309999,128
310000-310999,127
311000-311999,113
312000-312999,127
313000-313999,120
314000-314999,126
315000-315999,106
316000-316999,116
317000-317999,121
318000-318999,114
319000-319999,121
320000-320999,134
321000-321999,130
322000-322999,120
323000-323999,144
324000-324999,126
325000-325999,119
326000-326999,126
327000-327999,119
328000-328999,133
329000-329999,128
330000-330999,112
331000-331999,128
332000-332999,116
333000-333999,126
334000-334999,138
335000-335999,115
336000-336999,146
