"","Male","Married","Protestant","Republican","GunOwner","Bush"
"1",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"3",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"5",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"6",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"7",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"10",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"11",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"12",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"13",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"14",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"15",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"16",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"17",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"18",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"19",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"20",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"23",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"24",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"25",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"26",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"28",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"29",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"30",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"31",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"32",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"33",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"34",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"35",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"36",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"37",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"38",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"39",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"40",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"41",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"42",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"44",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"45",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
