AGE,SCHOOL,GAIN,HOURS,RICH
39,13,2174,40,0
50,13,0,13,0
38,9,0,40,0
53,7,0,40,0
28,13,0,40,0
37,14,0,40,0
49,5,0,16,0
52,9,0,45,1
31,14,14084,50,1
42,13,5178,40,1
37,10,0,80,1
30,13,0,40,1
23,13,0,30,0
32,12,0,50,0
40,11,0,40,1
34,4,0,45,0
25,9,0,35,0
32,9,0,40,0
38,7,0,50,0
43,14,0,45,1
40,16,0,60,1
54,9,0,20,0
35,5,0,40,0
43,7,0,40,0
59,9,0,40,0
56,13,0,40,1
19,9,0,40,0
54,10,0,60,1
39,9,0,80,0
49,9,0,40,0
23,12,0,52,0
20,10,0,44,0
45,13,0,40,0
30,10,0,40,0
22,10,0,15,0
48,7,0,40,0
21,10,0,40,0
19,9,0,25,0
31,10,0,38,1
48,12,0,40,0
31,5,0,43,0
53,13,0,40,0
24,13,0,50,0
49,9,0,40,0
25,9,0,35,0
57,13,0,40,1
53,9,0,38,0
44,14,0,40,0
41,11,0,40,0
29,11,0,43,0
25,10,0,40,0
18,9,0,30,0
47,15,0,60,1
50,13,0,55,1
47,9,0,60,0
43,10,0,40,1
46,3,0,40,0
35,11,0,40,0
41,9,0,48,0
30,9,5013,40,0
30,13,2407,40,0
32,4,0,40,0
48,9,0,40,0
42,16,0,45,1
29,10,0,58,0
36,9,0,40,0
28,10,0,40,0
53,9,0,40,1
49,10,0,50,1
25,10,0,40,0
19,10,0,32,0
31,13,0,40,0
29,13,0,70,1
23,10,0,40,0
79,10,0,20,0
27,9,0,40,0
40,12,0,40,0
67,6,0,2,0
18,7,0,22,0
31,4,0,40,0
18,9,0,30,0
52,13,0,40,0
46,9,0,40,0
59,9,0,48,0
44,9,14344,40,1
53,9,0,35,0
49,9,0,40,1
33,14,0,50,0
30,5,0,40,0
43,16,0,50,1
57,11,0,40,0
37,10,0,40,0
28,10,0,25,0
30,9,0,35,0
34,13,0,40,1
29,10,0,50,0
48,16,0,60,1
37,10,0,48,1
48,12,0,40,0
32,9,0,40,0
76,14,0,40,1
44,13,15024,60,1
47,14,0,50,0
20,10,0,40,0
29,9,0,40,0
32,9,7688,40,1
17,6,34095,32,0
30,7,0,40,0
31,9,0,40,0
42,9,0,40,0
24,13,0,40,0
38,15,0,40,1
56,9,0,50,1
28,10,4064,25,0
36,9,0,40,0
53,5,0,50,0
56,10,0,50,0
49,11,0,40,1
55,10,0,56,0
22,9,0,41,0
21,10,0,40,0
40,13,0,60,0
30,13,0,40,0
29,13,0,50,1
19,10,0,35,0
47,13,0,40,1
20,10,0,28,0
31,12,0,40,1
35,9,0,40,0
39,10,0,40,0
28,12,0,60,0
24,9,0,40,0
38,9,4386,35,0
37,13,0,50,0
46,12,0,36,0
38,14,0,40,1
43,9,0,60,0
27,11,0,35,0
20,10,0,20,0
49,10,0,40,1
61,9,0,40,0
27,10,0,40,0
19,10,0,30,0
45,11,0,40,1
70,10,0,40,0
31,9,0,30,0
22,10,0,24,0
36,9,0,24,0
64,7,0,40,0
43,10,0,40,0
47,10,0,38,0
34,9,0,40,0
33,13,0,40,0
21,9,0,35,0
52,9,0,45,1
48,9,0,46,0
23,13,0,40,0
71,10,0,2,0
29,9,0,60,0
42,13,0,50,0
68,2,0,20,0
25,9,0,40,0
44,14,0,40,0
28,9,0,40,0
45,14,0,40,1
36,10,0,40,0
39,12,0,42,0
46,14,0,40,0
18,7,0,16,0
66,11,0,20,0
27,9,0,40,0
28,9,0,40,0
51,10,0,40,1
27,13,0,50,0
28,13,0,40,1
27,9,0,25,0
21,9,0,40,0
34,9,0,40,0
18,9,0,12,0
33,13,0,65,0
44,10,0,38,1
43,10,0,40,0
30,10,0,45,0
40,4,0,40,1
37,10,0,42,1
34,9,0,40,0
41,13,0,40,0
53,13,0,50,0
31,14,0,50,0
58,16,0,1,1
38,10,0,28,0
24,10,0,40,0
41,13,0,40,0
47,10,0,45,0
41,13,0,24,0
23,3,0,40,0
36,10,0,40,0
40,14,14084,55,1
35,14,7298,40,1
24,9,0,40,0
26,14,0,40,0
19,9,0,40,0
51,13,0,50,1
42,10,0,40,0
37,9,0,35,0
18,7,0,40,0
36,13,7298,36,1
35,9,0,60,0
58,9,15024,35,1
17,7,0,12,0
44,9,0,40,0
37,9,0,40,1
35,10,0,40,0
60,9,0,40,0
54,4,0,40,1
37,13,0,60,1
50,12,0,40,0
38,13,0,50,0
45,13,0,55,0
25,6,0,40,0
31,10,0,40,0
64,2,0,40,0
90,9,0,40,0
54,9,0,20,0
53,1,0,35,0
18,9,0,40,0
60,6,0,10,0
66,9,1409,50,0
75,11,0,20,0
65,9,0,40,0
35,7,3674,40,0
41,9,0,38,0
25,10,0,42,0
33,10,0,40,0
28,15,0,55,1
59,9,0,40,0
40,10,0,38,0
41,13,0,50,1
38,14,0,70,1
23,9,0,40,0
40,13,0,40,1
41,9,0,20,0
24,12,0,50,0
20,10,0,20,0
38,10,0,40,0
56,9,0,35,0
58,9,0,45,1
32,9,0,34,0
40,12,0,60,1
45,9,0,40,0
41,15,0,40,1
42,13,0,40,0
59,6,0,30,0
19,10,0,40,0
58,10,0,20,0
42,9,0,40,1
20,9,0,40,0
32,9,0,30,0
45,11,0,45,0
50,4,0,40,0
36,13,0,40,0
45,9,0,60,0
17,7,0,12,0
59,10,4064,40,0
26,7,0,40,0
37,10,0,75,1
19,10,0,24,0
64,9,0,40,1
33,13,0,45,0
33,9,0,40,1
61,9,0,40,1
17,5,1055,24,0
50,14,2407,98,0
27,14,0,35,0
30,9,0,40,0
43,9,0,40,0
44,10,7298,40,1
35,10,0,40,0
25,10,0,40,0
24,10,7298,48,1
22,13,0,15,0
42,10,5178,40,1
34,12,0,45,0
60,13,0,42,0
21,9,0,40,0
57,14,15024,40,1
41,15,0,60,1
50,10,0,45,0
25,13,0,40,0
50,4,0,40,0
36,13,0,45,0
31,9,0,40,0
29,13,0,56,0
21,10,0,45,0
27,13,0,40,0
65,9,0,16,0
37,13,0,60,0
39,14,3464,40,0
24,9,0,40,0
38,9,0,80,0
48,13,7688,40,1
21,10,0,25,0
31,9,0,45,1
55,9,4386,40,1
24,10,0,40,0
43,9,0,40,0
26,12,0,45,0
46,12,0,33,0
35,12,0,40,1
41,10,0,54,1
26,13,0,40,0
34,14,7298,35,1
19,10,0,25,0
36,13,0,40,1
22,10,0,15,0
24,10,0,40,0
77,10,0,40,0
22,3,0,40,0
29,10,0,40,0
62,9,0,24,0
39,9,0,40,0
43,10,0,50,0
35,9,0,45,0
29,7,0,40,0
76,14,0,10,0
63,9,0,45,0
23,11,0,15,0
43,10,0,50,1
58,9,0,40,0
66,9,2050,55,0
41,10,0,45,0
26,13,0,40,0
47,11,0,40,0
55,6,0,40,0
53,9,0,40,0
17,3,0,48,0
30,9,0,40,0
49,14,0,60,0
19,9,0,30,0
45,9,0,40,0
26,12,0,40,0
38,11,7298,40,1
36,9,7298,40,1
33,9,0,20,0
22,10,0,40,0
43,13,0,42,0
67,7,0,8,0
30,11,0,40,0
56,12,0,25,0
31,13,0,25,0
33,13,0,40,1
26,9,0,40,0
33,13,0,40,1
46,7,0,30,0
59,13,0,40,1
38,9,0,40,1
65,7,0,40,0
40,11,0,40,1
42,9,0,35,0
26,5,0,40,0
36,6,0,24,0
62,14,0,40,1
43,13,0,45,0
43,13,0,45,1
22,9,0,55,0
28,9,0,40,0
56,10,0,45,0
22,12,0,15,0
57,13,0,45,1
39,9,0,40,0
26,10,0,15,0
17,7,0,10,0
40,11,0,38,1
45,9,0,40,0
44,9,0,40,0
20,10,0,10,0
33,9,0,40,0
23,10,0,40,0
46,14,0,30,0
38,9,0,50,0
54,9,0,40,0
46,3,0,45,0
25,10,0,40,0
46,10,0,40,0
36,10,0,40,0
23,9,0,25,0
29,9,0,40,0
44,10,0,6,1
19,10,0,16,0
19,9,0,40,0
35,9,0,40,1
27,13,0,50,0
46,12,0,40,0
34,13,7688,45,1
34,9,0,35,0
44,10,0,40,0
45,10,0,40,0
20,9,0,35,0
25,13,0,55,1
52,13,0,50,1
20,10,0,40,0
28,10,0,40,0
50,13,0,40,1
34,11,0,64,0
28,4,0,40,0
41,14,0,65,1
28,9,0,40,0
46,9,0,25,0
28,10,0,40,1
32,10,0,50,0
41,10,0,24,0
24,9,0,40,0
33,10,0,40,0
46,16,15024,60,1
31,10,0,40,0
35,8,0,50,1
52,2,0,40,0
30,7,0,19,0
34,7,0,40,0
