,Unit,Abbr,Lost,Kills,LostAvg,KillsAvg
1,Hoplital Haplol (Greek Levy Hoplites),HOPH,38,20,41.33333333,48.33333333
2,Hoplitai (Greek ClassIcal Hoplites),HOPL,25,53,41.33333333,48.33333333
3,Machimoi (Native Egyptian Infantry),MACH,54,44,41.33333333,48.33333333
4,Machimoi (Native Egyptian Infantry),MACH,55,40,41.33333333,48.33333333
5,Machimoi (Native Egyptian Infantry),MACH,63,20,41.33333333,48.33333333
6,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,58,183,41.33333333,48.33333333
8,Pantodapoi (Hellenic Native Spearmen),PANT,51,32,41.33333333,48.33333333
10,Appea Gaedotos (Alpine Phalanx),APPE,8,33,17.66666667,68.88888889
11,Appea Gaedotos (Alpine Phalanx),APPE,19,58,17.66666667,68.88888889
12,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,3,49,17.66666667,68.88888889
13,Lugoae (Celtic Levy Spearmen),LUGO,49,50,17.66666667,68.88888889
15,Teceitos (CeltIc Axemen),TECE,9,75,17.66666667,68.88888889
16,Teceitos (CeltIc Axemen),TECE,12,71,17.66666667,68.88888889
17,Teceitos (CeltIc Axemen),TECE,23,203,17.66666667,68.88888889
18,Teceitos (CeltIc Axemen),TECE,9,15,17.66666667,68.88888889
19,Teceitos (CeltIc Axemen),TECE,67,76,17.66666667,68.88888889
20,Teceitos (CeltIc Axemen),TECE,33,73,17.66666667,68.88888889
21,Teceitos (CeltIc Axemen),TECE,8,67,17.66666667,68.88888889
22,Teceitos (CeltIc Axemen),TECE,8,39,17.66666667,68.88888889
23,Teceitos (CeltIc Axemen),TECE,4,63,17.66666667,68.88888889
24,Tekastos (RhaetJc Axemen),TEKA,15,86,17.66666667,68.88888889
25,Tekastos (RhaetJc Axemen),TEKA,2,25,17.66666667,68.88888889
26,Tekastos (RhaetJc Axemen),TEKA,8,70,17.66666667,68.88888889
27,Vigiles (Town Watch),VIGI,13,32,17.66666667,68.88888889
30,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,2,17,6.85,16.8
31,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,17,11,6.85,16.8
37,Hoplitai (Greek ClassIcal Hoplites),HOPL,20,30,6.85,16.8
40,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,3,8,6.85,16.8
41,Pezoi Brettioi (Bruttlan Infantry),PEZO,1,17,6.85,16.8
42,Principes (Camillan Heavy Infantry Maniple),PRIN,6,11,6.85,16.8
43,Principes (Camillan Heavy Infantry Maniple),PRIN,13,30,6.85,16.8
44,Principes (Camillan Heavy Infantry Maniple),PRIN,5,14,6.85,16.8
45,Tekastos (RhaetJc Axemen),TEKA,15,55,6.85,16.8
56,Hoplitai (Greek ClassIcal Hoplites),HOPL,7,37,14.6,64
57,Hoplitai (Greek ClassIcal Hoplites),HOPL,71,148,14.6,64
60,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,41,290,14.6,64
63,Principes (Camillan Heavy Infantry Maniple),PRIN,27,67,14.6,64
65,Tekastos (RhaetJc Axemen),TEKA,64,164,14.6,64
69,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,86,15,27.28571429,28.64285714
