Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,Wednesday Apr 11,boxscore,NYM,@,STL,L,4,11,,0-1,7,1.5,Jackson,Craig,,2:53,N,16147,-
2,Friday Apr 13,boxscore,NYM,,PIT,L,3,4,,0-2,7,3,Sturdivant,Jones,Face,2:45,D,12447,--
3,Saturday Apr 14,boxscore,NYM,,PIT,L,2,6,,0-3,7,4,Mizell,Jackson,Face,2:48,D,9231,---
4,Sunday Apr 15,boxscore,NYM,,PIT,L,2,7,,0-4,8,4,Friend,Craig,,2:20,D,11278,----
5,Tuesday Apr 17,boxscore,NYM,,HOU,L,2,5,11,0-5,8,5.5,Golden,Moford,Tiefenauer,3:22,D,3191,-----
6,Wednesday Apr 18,boxscore,NYM,,STL,L,5,15,,0-6,9,6.5,Jackson,Jones,Sadecki,2:50,D,4725,------
7,Thursday Apr 19,boxscore,NYM,,STL,L,4,9,,0-7,9,7.5,Washburn,Jackson,McDaniel,2:43,D,9060,-------
8,Saturday Apr 21,boxscore,NYM,@,PIT,L,4,8,,0-8,9,8.5,Friend,Miller,Face,2:51,D,17927,--------
9,Sunday Apr 22,boxscore,NYM,@,PIT,L,3,4,,0-9,10,9.5,Veale,Jones,,2:17,D,13780,---------
10,Monday Apr 23,boxscore,NYM,@,PIT,W,9,1,,9-Jan,10,8.5,Hook,Sturdivant,,2:40,N,16676,+
11,Tuesday Apr 24,boxscore,NYM,@,CIN,L,3,7,,10-Jan,10,9.5,Ellis,Anderson,Drabowsky,3:10,N,5027,-
12,Wednesday Apr 25,boxscore,NYM,@,CIN,L,1,7,,11-Jan,10,9.5,Purkey,Miller,,2:40,N,5563,--
13,Friday Apr 27,boxscore,NYM,,PHI,L,9,11,,12-Jan,10,9.5,McLish,Craig,Baldschun,3:07,D,9043,---
14,Saturday Apr 28,boxscore,NYM,,PHI,W,8,6,,12-Feb,10,8.5,Craig,Sullivan,,3:34,D,10492,+
15,Sunday Apr 29 (1),boxscore,NYM,,PHI,W,8,0,,12-Mar,9,9.5,Jackson,Mahaffey,,2:55,D,,++
