,date,max,min,precip
1,1/1/2010,70,51,0
2,1/2/2010,78,50,0
3,1/3/2010,79,54,0
4,1/4/2010,77,56,0
5,1/5/2010,78,54,0
6,1/6/2010,76,52,0
7,1/7/2010,74,49,0
8,1/8/2010,79,51,0
9,1/9/2010,77,58,0
10,1/10/2010,77,54,0
11,1/11/2010,81,52,0
12,1/12/2010,73,53,0
13,1/13/2010,66,54,0.16
14,1/14/2010,74,51,0
15,1/15/2010,76,50,0
16,1/16/2010,71,54,0
17,1/17/2010,66,54,0.31
18,1/18/2010,62,56,1.12
19,1/19/2010,58,50,0.61
20,1/20/2010,59,51,1.2
21,1/21/2010,58,50,0.97
22,1/22/2010,53,46,0.37
23,1/23/2010,60,42,0
24,1/24/2010,64,43,0
25,1/25/2010,67,46,0
26,1/26/2010,61,47,0.2
27,1/27/2010,69,54,0
28,1/28/2010,71,50,0
29,1/29/2010,68,50,0
30,1/30/2010,64,48,0
31,1/31/2010,66,47,0
32,2/1/2010,68,50,0
33,2/2/2010,66,54,0
34,2/3/2010,70,49,0
35,2/4/2010,65,55,0
36,2/5/2010,58,54,0.94
37,2/6/2010,63,51,1.91
38,2/7/2010,64,45,0
39,2/8/2010,64,49,0
40,2/9/2010,59,45,0.44
41,2/10/2010,65,40,0
42,2/11/2010,65,50,0
43,2/12/2010,67,50,0
44,2/13/2010,75,49,0
45,2/14/2010,81,52,0
46,2/15/2010,82,57,0
47,2/16/2010,84,57,0
48,2/17/2010,80,55,0
49,2/18/2010,69,56,0
50,2/19/2010,64,54,0.09
51,2/20/2010,64,52,0.05
52,2/21/2010,65,54,0.03
53,2/22/2010,70,52,0
54,2/23/2010,69,47,0
55,2/24/2010,66,53,0.01
56,2/25/2010,70,53,0
57,2/26/2010,75,56,0
58,2/27/2010,63,52,0.8
59,2/28/2010,68,47,0
60,3/1/2010,71,52,0
61,3/2/2010,67,56,0
62,3/3/2010,66,54,0.06
63,3/4/2010,64,49,0
64,3/5/2010,68,49,0
65,3/6/2010,62,52,0.42
66,3/7/2010,66,50,0
67,3/8/2010,66,54,0
68,3/9/2010,62,49,0
69,3/10/2010,64,50,0
70,3/11/2010,68,47,0
71,3/12/2010,71,49,0
72,3/13/2010,66,52,0
73,3/14/2010,71,49,0
74,3/15/2010,82,49,0
75,3/16/2010,88,58,0
76,3/17/2010,87,61,0
77,3/18/2010,78,59,0
78,3/19/2010,74,55,0
79,3/20/2010,81,54,0
80,3/21/2010,80,52,0
81,3/22/2010,72,53,0
82,3/23/2010,73,57,0
83,3/24/2010,75,55,0
84,3/25/2010,67,55,0
85,3/26/2010,73,53,0
86,3/27/2010,83,53,0
87,3/28/2010,85,58,0
88,3/29/2010,81,57,0
89,3/30/2010,68,58,0
90,3/31/2010,66,53,0
91,4/1/2010,64,50,0
92,4/2/2010,69,52,0
93,4/3/2010,70,53,0
94,4/4/2010,65,53,0.03
95,4/5/2010,64,53,0.57
96,4/6/2010,72,49,0
97,4/7/2010,82,52,0
98,4/8/2010,84,58,0
99,4/9/2010,76,57,0
100,4/10/2010,67,57,0
101,4/11/2010,64,54,0.72
102,4/12/2010,65,52,0.19
103,4/13/2010,67,50,0
104,4/14/2010,70,52,0
105,4/15/2010,73,53,0
106,4/16/2010,72,54,0
107,4/17/2010,76,55,0
108,4/18/2010,76,55,0
109,4/19/2010,73,58,0
110,4/20/2010,68,52,0.11
111,4/21/2010,63,48,0
112,4/22/2010,61,49,0
113,4/23/2010,69,49,0
114,4/24/2010,70,55,0
115,4/25/2010,75,54,0
