,date,max,min,precip
1,1/1/2010,35,26,0
2,1/2/2010,30,21,0.43
3,1/3/2010,31,17,0.2
4,1/4/2010,35,26,0
5,1/5/2010,34,27,0
6,1/6/2010,34,24,0
7,1/7/2010,41,27,0
8,1/8/2010,29,21,0.01
9,1/9/2010,27,13,0
10,1/10/2010,28,11,0
11,1/11/2010,36,17,0
12,1/12/2010,34,16,0
13,1/13/2010,30,14,0
14,1/14/2010,33,21,0
15,1/15/2010,46,31,0
16,1/16/2010,48,32,0
17,1/17/2010,41,31,0.43
18,1/18/2010,34,31,0.71
19,1/19/2010,36,31,0.3
20,1/20/2010,37,31,0
21,1/21/2010,41,28,0
22,1/22/2010,37,25,0
23,1/23/2010,33,23,0
24,1/24/2010,41,25,0
25,1/25/2010,57,37,0.81
26,1/26/2010,52,35,0
27,1/27/2010,43,32,0
28,1/28/2010,37,20,0.02
29,1/29/2010,21,10,0
30,1/30/2010,22,6,0
31,1/31/2010,29,13,0
32,2/1/2010,35,22,0
33,2/2/2010,31,24,0
34,2/3/2010,33,25,0.02
35,2/4/2010,34,25,0
36,2/5/2010,35,22,0
37,2/6/2010,25,18,0
38,2/7/2010,34,14,0
39,2/8/2010,33,22,0
40,2/9/2010,41,23,0
41,2/10/2010,36,29,0.2
42,2/11/2010,40,29,0
43,2/12/2010,39,25,0
44,2/13/2010,38,23,0
45,2/14/2010,41,27,0
46,2/15/2010,40,30,0
47,2/16/2010,34,30,0.65
48,2/17/2010,37,28,0
49,2/18/2010,46,33,0
50,2/19/2010,43,31,0
51,2/20/2010,50,34,0
52,2/21/2010,42,32,0
53,2/22/2010,46,30,0
54,2/23/2010,40,33,0
55,2/24/2010,42,36,1.12
56,2/25/2010,45,37,1.28
57,2/26/2010,44,34,0.03
58,2/27/2010,40,31,0.04
59,2/28/2010,38,29,0
60,3/1/2010,48,34,0.31
61,3/2/2010,43,36,0
62,3/3/2010,38,34,0.02
63,3/4/2010,36,33,0.06
64,3/5/2010,42,31,0
65,3/6/2010,57,31,0
66,3/7/2010,57,37,0
67,3/8/2010,59,42,0
68,3/9/2010,53,37,0
69,3/10/2010,44,33,0
70,3/11/2010,45,35,0.08
